SpeciesNum,SampleID,Beta,Gamma,CollapseTP,RecoveryTP,RelativeHysteresis
3,47,0.8,0.3,0.05266533,0.003607214,13.627255
3,48,0.8,0.3,0.0353507,0.0050501,8.416834
3,49,0.8,0.3,0.08945892,0.009378758,22.244489
3,50,0.8,0.3,0.06492986,0.004328657,16.833667
3,51,0.8,0.3,0.06420842,0.006492986,16.032064
3,52,0.8,0.3,0.0606012,0.004328657,15.631263
3,53,0.8,0.3,0.06492986,0.011543086,14.829659
3,54,0.8,0.3,0.05410822,0.004328657,13.827655
3,55,0.8,0.3,0.07863727,0.007935872,19.639279
3,56,0.8,0.3,0.06781563,0.0101002,16.032064
3,57,0.8,0.3,0.02885772,0.002885772,7.214429
3,58,0.8,0.3,0.04833667,0.009378758,10.821643
3,59,0.8,0.3,0.04833667,0.009378758,10.821643
3,60,0.8,0.3,0.07214429,0.010821643,17.034068
3,61,0.8,0.3,0.101002,0.007935872,25.851703
3,62,0.8,0.3,0.07863727,0.005771543,20.240481
3,63,0.8,0.3,0.06276553,0.004328657,16.232465
3,64,0.8,0.3,0.05915832,0.004328657,15.230461
3,65,0.8,0.3,0.0555511,0.015871743,11.022044
3,66,0.8,0.3,0.02813627,0.006492986,6.012024
3,67,0.8,0.3,0.06781563,0.0050501,17.43487
3,68,0.8,0.3,0.05771543,0.014428858,12.024048
3,69,0.8,0.3,0.06420842,0.012985972,14.228457
3,70,0.8,0.3,0.06492986,0.008657315,15.631263
3,71,0.8,0.3,0.05771543,0.007214429,14.028056
3,72,0.8,0.3,0.02669339,0.003607214,6.412826
3,73,0.8,0.3,0.05771543,0.004328657,14.829659
3,74,0.8,0.3,0.04905812,0.004328657,12.42485
3,75,0.8,0.3,0.05194389,0.015871743,10.02004
3,76,0.8,0.3,0.0656513,0.012264529,14.829659
3,77,0.8,0.3,0.06276553,0.0050501,16.032064
3,78,0.8,0.3,0.04761523,0.003607214,12.224449
3,79,0.8,0.3,0.09883768,0.006492986,25.651303
3,80,0.8,0.3,0.03102204,0.002885772,7.815631
3,81,0.8,0.3,0.06132265,0.004328657,15.831663
3,82,0.8,0.3,0.02669339,0.002164329,6.813627
3,83,0.8,0.3,0.0606012,0.0101002,14.028056
3,84,0.8,0.3,0.0606012,0.006492986,15.03006
3,85,0.8,0.3,0.06709419,0.008657315,16.232465
3,86,0.8,0.3,0.0656513,0.008657315,15.831663
3,87,0.8,0.3,0.07503006,0.007935872,18.637275
3,88,0.8,0.3,0.08008016,0.005771543,20.641283
3,89,0.8,0.3,0.02957916,0.002885772,7.41483
3,90,0.8,0.3,0.0606012,0.007214429,14.829659
3,91,0.8,0.3,0.05338677,0.004328657,13.627255
3,92,0.8,0.3,0.06204409,0.009378758,14.629259
3,93,0.8,0.3,0.05987976,0.005771543,15.03006
3,94,0.8,0.3,0.06132265,0.011543086,13.827655
3,95,0.8,0.3,0.05843687,0.004328657,15.03006
3,96,0.8,0.3,0.05771543,0.003607214,15.03006
3,97,0.8,0.3,0.06637275,0.008657315,16.032064
3,98,0.8,0.3,0.0303006,0.003607214,7.41483
3,99,0.8,0.3,0.09955912,0.0101002,24.849699
3,100,0.8,0.3,0.09523046,0.0101002,23.647295
