"X","Y","Type","Class"
34.9583333333333,-21.2916666666667,1,"1"
121.291666666667,-21.2916666666667,1,"1"
-62.7916666666667,-21.2083333333333,1,"1"
-59.7916666666667,-21.2083333333333,1,"1"
-45.875,-21.2083333333333,1,"2"
33.0416666666667,-21.2083333333333,1,"1"
33.2083333333333,-21.2083333333333,1,"1"
33.2916666666667,-21.2083333333333,1,"1"
33.375,-21.2083333333333,1,"1"
33.7916666666667,-21.2083333333333,1,"1"
126.625,-21.2083333333333,1,"1"
-50.9583333333333,-21.125,1,"2"
33.4583333333333,-21.0416666666667,1,"1"
123.291666666667,-21.0416666666667,1,"1"
125.291666666667,-21.0416666666667,1,"1"
125.375,-21.0416666666667,1,"1"
-62.5416666666667,-20.9583333333333,1,"1"
-53.7916666666667,-20.9583333333333,1,"1"
47.2083333333333,-20.9583333333333,1,"1"
30.7916666666667,-20.875,1,"1"
-46.2083333333333,-20.7916666666667,1,"2"
34.5416666666667,-20.7916666666667,1,"1"
46.2083333333333,-20.7916666666667,1,"1"
123.875,-20.7916666666667,1,"1"
124.041666666667,-20.7916666666667,1,"1"
-58.7083333333333,-20.7083333333333,1,"1"
31.625,-20.7083333333333,1,"1"
46.0416666666667,-20.5416666666667,1,"1"
122.541666666667,-20.5416666666667,1,"1"
34.5416666666667,-20.4583333333333,1,"1"
-49.7916666666667,-20.375,1,"2"
24.375,-20.375,1,"1"
47.375,-20.375,1,"1"
-46.0416666666667,-20.2916666666667,1,"2"
-45.375,-20.2916666666667,1,"2"
13.5416666666667,-20.2916666666667,1,"2"
48.2916666666667,-20.2916666666667,1,"1"
125.958333333333,-20.2916666666667,1,"1"
27.7083333333333,-20.2083333333333,1,"1"
-58.7083333333333,-20.125,1,"1"
-50.4583333333333,-20.125,1,"2"
-59.0416666666667,-20.0416666666667,1,"1"
-50.875,-20.0416666666667,1,"2"
142.375,-20.0416666666667,1,"1"
-50.2083333333333,-19.9583333333333,1,"2"
-50.125,-19.9583333333333,1,"2"
47.5416666666667,-19.9583333333333,1,"1"
124.125,-19.9583333333333,1,"1"
-46.625,-19.875,1,"2"
145.541666666667,-19.875,1,"1"
-59.7083333333333,-19.7916666666667,1,"1"
